City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
527,Touho,NC,76.06,light rain,-20.78,165.23,
532,Madang,PG,77.95,clear sky,-5.22,145.8,
534,Kerema,PG,76.77,scattered clouds,-7.96,145.78,
536,Abha,SA,62.6,clear sky,18.22,42.51,
538,Auki,SB,82.45,few clouds,-8.77,160.7,
539,Olinda,BR,82.4,broken clouds,-8.01,-34.86,
540,Woodward,US,57.99,clear sky,36.43,-99.39,
542,Ugoofaaru,MV,82.85,overcast clouds,5.67,73.0,
543,Biak,ID,77.45,overcast clouds,-0.91,122.88,
545,Ilam,NP,60.06,few clouds,26.92,87.92,
547,Mount Pleasant,US,78.01,clear sky,32.79,-79.86,
548,Ewo,CG,73.81,overcast clouds,-0.87,14.82,
550,Utrecht,NL,60.01,overcast clouds,52.0,5.25,
551,Catamarca,AR,84.99,clear sky,-28.47,-65.79,
552,Dicabisagan,PH,77.88,moderate rain,17.08,122.42,
554,Victoria Point,AU,75.0,few clouds,-27.58,153.3,
555,Kifri,IQ,70.29,clear sky,34.7,44.97,
556,Buin,CL,75.0,clear sky,-33.73,-70.75,
557,Aden,YE,83.53,clear sky,12.78,45.04,
559,Gisors,FR,59.0,broken clouds,49.28,1.78,
561,Manaus,BR,84.2,light rain,-3.1,-60.02,
563,Biri,PH,82.44,moderate rain,12.68,124.36,
565,San-Pedro,CI,77.41,clear sky,4.75,-6.64,
566,Pacific Grove,US,68.0,scattered clouds,36.62,-121.92,
568,San Policarpo,PH,78.85,heavy intensity rain,12.18,125.51,
571,Koulamoutou,GA,73.42,light rain,-1.13,12.47,
572,Bosaso,SO,79.25,clear sky,11.28,49.18,
574,Roswell,US,71.01,thunderstorm,34.02,-84.36,
576,Jawhar,SO,78.22,moderate rain,2.78,45.5,
577,Shimoda,JP,57.94,scattered clouds,34.67,138.95,
578,Qui Nhon,VN,74.26,overcast clouds,13.77,109.23,
579,Thayetmyo,MM,73.53,overcast clouds,19.32,95.18,
580,Pitimbu,BR,78.8,broken clouds,-7.47,-34.81,
583,Diffa,NE,83.55,overcast clouds,13.32,12.61,
584,Khuzdar,PK,57.13,clear sky,27.74,66.64,
585,Cairns,AU,77.0,broken clouds,-16.92,145.77,
586,Sumbe,AO,75.67,light rain,-11.21,13.84,
587,Makakilo City,US,84.2,clear sky,21.35,-158.09,
588,Nantucket,US,62.6,overcast clouds,41.28,-70.1,
590,Ormara,PK,78.21,clear sky,25.21,64.64,
591,Labuhan,ID,79.52,moderate rain,-6.88,112.21,
592,Moanda,GA,72.19,light rain,-1.56,13.22,
595,Bahia Blanca,AR,82.58,clear sky,-38.72,-62.27,
596,Quatre Cocos,MU,71.6,shower rain,-20.21,57.76,
597,Paciran,ID,79.84,light rain,-6.88,112.38,
598,Ambovombe,MG,69.71,broken clouds,-25.17,46.08,
599,Port Macquarie,AU,66.99,scattered clouds,-31.43,152.92,
602,Waipawa,NZ,60.8,few clouds,-41.41,175.52,
603,Calabozo,VE,82.44,overcast clouds,8.92,-67.43,
605,Kibakwe,TZ,65.71,few clouds,-6.72,36.37,
606,Gallup,US,73.4,clear sky,35.53,-108.74,
607,Kalamare,BW,77.7,clear sky,-22.93,26.57,
608,Boende,CD,72.43,overcast clouds,-0.22,20.87,
609,Wanning,CN,77.22,moderate rain,18.8,110.4,
