City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
164,Levelland,US,33.59,-102.38,70.0,30,40,17.22,scattered clouds
165,Laharpur,IN,27.72,80.9,68.41,33,0,5.93,clear sky
166,Saint-Leu,RE,-21.15,55.28,71.6,60,0,8.05,clear sky
167,Hilo,US,19.73,-155.09,80.6,74,90,9.17,overcast clouds
168,Anori,BR,-3.77,-61.64,79.79,81,100,5.5,moderate rain
169,Taoudenni,ML,22.68,-3.98,89.47,12,0,9.44,clear sky
170,Iralaya,HN,15.0,-83.23,79.41,82,100,5.55,overcast clouds
171,Lakes Entrance,AU,-37.88,147.98,51.01,80,18,1.01,light rain
172,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,41.0,86,90,20.13,light intensity shower rain
173,Tiarei,PF,-17.53,-149.33,84.2,70,75,6.93,broken clouds
174,Bathsheba,BB,13.22,-59.52,84.2,70,40,20.8,shower rain
175,Serdobsk,RU,52.46,44.22,47.64,90,100,3.62,overcast clouds
176,George Town,MY,5.41,100.34,77.0,94,40,3.36,scattered clouds
177,Contamana,PE,-7.33,-75.02,99.39,29,97,4.25,overcast clouds
178,Kamenka,RU,51.32,42.77,53.01,88,100,4.12,light rain
179,Gigmoto,PH,13.78,124.39,81.12,82,100,9.48,moderate rain
180,Navalmoral De La Mata,ES,39.89,-5.54,54.0,78,56,3.0,broken clouds
181,Lisakovsk,KZ,52.54,62.49,45.1,94,96,11.68,overcast clouds
182,Katangli,RU,51.71,143.23,41.63,87,70,9.28,broken clouds
183,Zaysan,KZ,47.47,84.87,28.53,92,70,3.36,broken clouds
184,Atar,MR,20.52,-13.05,90.05,21,100,9.15,overcast clouds
185,Sao Filipe,CV,14.9,-24.5,81.39,74,95,10.29,overcast clouds
186,Passy,FR,45.92,6.69,39.0,94,30,4.88,scattered clouds
187,Harper,LR,4.38,-7.72,78.06,85,92,5.37,overcast clouds
188,Pizarro,CO,4.95,-77.37,77.54,89,100,7.99,light rain
189,Waterloo,CA,43.47,-80.52,45.0,63,90,8.05,overcast clouds
190,Maralal,KE,1.1,36.7,63.05,81,63,9.35,broken clouds
191,Avarua,CK,-21.21,-159.78,77.0,65,37,13.87,scattered clouds
192,Vendome,FR,47.8,1.07,59.0,87,99,18.34,overcast clouds
193,Lugovoy,KZ,42.95,72.76,37.26,76,17,3.04,few clouds
194,San Patricio,US,28.02,-97.52,73.99,46,75,6.93,broken clouds
195,Sovetskaya Gavan,RU,48.97,140.29,41.52,88,100,5.55,light rain
196,Iquique,CL,-20.22,-70.14,64.4,72,90,12.75,overcast clouds
197,Iskateley,RU,67.68,53.15,17.71,93,85,12.33,overcast clouds
198,Halifax,CA,44.65,-63.57,55.99,99,100,1.01,overcast clouds
199,Provideniya,RU,64.38,-173.3,33.82,89,76,15.21,broken clouds
200,Arlit,NE,18.74,7.39,81.63,14,0,11.56,clear sky
201,Balabac,PH,7.99,117.06,81.27,81,100,9.64,light rain
202,Tromso,NO,69.65,18.96,37.4,88,75,19.46,broken clouds
203,Sola,VU,-13.88,167.55,84.2,79,75,5.82,broken clouds
204,Grand Gaube,MU,-20.01,57.66,69.01,87,39,3.0,moderate rain
205,Pevek,RU,69.7,170.31,26.29,92,0,12.71,clear sky
206,Te Anau,NZ,-45.42,167.72,59.52,82,100,10.49,overcast clouds
207,Kollam,IN,8.88,76.6,80.6,78,20,1.12,mist
208,Bakurianis Andeziti,GE,41.73,43.47,50.23,47,85,4.38,overcast clouds
209,Poum,NC,-20.23,164.02,77.45,78,0,18.57,clear sky
210,Bukama,CD,-9.2,25.85,76.95,69,39,1.7,scattered clouds
211,Mareeba,AU,-17.0,145.43,77.0,78,85,0.74,overcast clouds
212,Totness,SR,5.88,-56.32,82.85,79,97,12.44,overcast clouds
213,Aykhal,RU,66.0,111.5,10.4,92,40,4.47,scattered clouds
214,Mayo,US,38.89,-76.51,72.0,73,90,9.17,overcast clouds
215,Diu,IN,20.71,70.98,79.63,60,26,5.99,scattered clouds
216,Bonavista,CA,48.65,-53.11,48.0,87,100,15.01,overcast clouds
217,Chapais,CA,49.78,-74.85,30.2,74,90,11.41,light snow
218,Agadez,NE,19.75,10.25,73.08,19,0,7.56,clear sky
219,Rawson,AR,-43.3,-65.1,64.69,50,57,17.02,broken clouds
220,Bambous Virieux,MU,-20.34,57.76,71.6,88,75,12.75,shower rain
221,Katsuura,JP,35.13,140.3,57.2,50,40,16.11,scattered clouds
222,Koson,UZ,39.04,65.58,42.8,52,0,4.7,clear sky
223,Bani Walid,LY,31.76,13.99,64.76,62,0,8.1,clear sky
224,Ostrovnoy,RU,68.05,39.51,31.77,98,100,11.18,overcast clouds
225,Saint-Augustin,CA,51.23,-58.65,45.95,82,100,15.39,overcast clouds
226,Barguzin,RU,53.62,109.62,33.33,84,100,6.55,overcast clouds
227,Raisen,IN,23.33,77.8,70.38,51,3,3.27,clear sky
228,Kismayo,SO,-0.36,42.55,79.68,83,98,12.1,overcast clouds
229,Bilma,NE,18.69,12.92,74.26,18,0,4.72,clear sky
230,Norman Wells,CA,65.28,-126.83,21.2,92,75,9.17,broken clouds
231,Bilibino,RU,68.05,166.44,16.5,86,0,2.1,clear sky
232,Oyama,JP,36.3,139.8,57.99,93,20,2.24,fog
233,Hovd,MN,48.01,91.64,29.82,76,0,6.04,clear sky
234,Berlevag,NO,70.86,29.09,38.64,76,100,20.71,overcast clouds
235,Dillon,US,34.42,-79.37,82.0,54,75,4.7,broken clouds
236,Guerrero Negro,MX,27.98,-114.06,73.22,62,19,17.07,few clouds
237,Gamba,GA,-2.65,10.0,77.07,86,100,8.19,light rain
238,Novyye Lyady,RU,58.05,56.6,39.2,100,75,11.18,broken clouds
