City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Le Mars,US,2020-10-24 21:32:37,42.79,-96.17,30.99,58,40,10.29
115,Longyearbyen,SJ,2020-10-24 21:32:37,78.22,15.64,21.2,79,75,3.36
116,Moengo,SR,2020-10-24 21:32:37,5.62,-54.4,81.52,74,54,5.88
117,Iqaluit,CA,2020-10-24 21:32:38,63.75,-68.51,26.6,86,90,4.54
118,Kapaa,US,2020-10-24 21:32:39,22.08,-159.32,84.0,69,40,14.99
119,Marienburg,PL,2020-10-24 21:32:39,54.04,19.03,50.0,93,0,6.93
120,Chuy,UY,2020-10-24 21:32:39,-33.7,-53.46,63.82,95,21,6.15
121,Comodoro Rivadavia,AR,2020-10-24 21:30:01,-45.87,-67.5,60.8,59,75,14.99
122,Abulug,PH,2020-10-24 21:32:40,18.45,121.45,79.72,86,100,12.66
123,Presidente Medici,BR,2020-10-24 21:32:41,-11.18,-61.9,81.77,67,92,4.76
124,Katsuura,JP,2020-10-24 21:32:41,35.13,140.3,57.99,50,40,16.11
125,Moose Factory,CA,2020-10-24 21:32:42,51.26,-80.61,33.8,47,90,10.29
126,Tiksi,RU,2020-10-24 21:32:42,71.69,128.87,11.77,92,100,24.49
127,Kavieng,PG,2020-10-24 21:32:43,-2.57,150.8,84.27,66,92,3.44
128,Gimli,CA,2020-10-24 21:29:19,50.63,-96.99,30.0,98,85,5.99
129,Kyritz,DE,2020-10-24 21:32:43,52.94,12.4,57.99,79,66,5.01
130,Buchmany,UA,2020-10-24 21:32:44,51.07,28.04,49.28,95,66,7.38
131,Atar,MR,2020-10-24 21:32:44,20.52,-13.05,88.93,22,100,8.3
132,Hermanus,ZA,2020-10-24 21:32:45,-34.42,19.23,62.01,90,29,3.0
133,Juelsminde,DK,2020-10-24 21:32:45,55.71,10.02,53.6,93,100,10.29
134,Saint Anthony,US,2020-10-24 21:32:45,45.02,-93.22,32.0,50,40,9.17
135,Luwingu,ZM,2020-10-24 21:32:46,-10.26,29.93,70.41,32,27,3.53
136,Pochutla,MX,2020-10-24 21:32:46,15.74,-96.47,86.0,70,90,4.72
137,Deputatskiy,RU,2020-10-24 21:32:47,69.3,139.9,8.94,90,0,10.36
138,Banjar,ID,2020-10-24 21:32:48,-8.19,114.97,77.23,79,64,4.23
139,Amvrosiyivka,UA,2020-10-24 21:32:48,47.79,38.48,56.5,94,92,6.76
140,Khandyga,RU,2020-10-24 21:32:48,62.67,135.6,9.5,92,40,2.39
141,Hilo,US,2020-10-24 21:32:49,19.73,-155.09,86.0,66,75,12.75
142,Pacific Grove,US,2020-10-24 21:22:31,36.62,-121.92,68.0,63,40,6.93
143,Barrow,US,2020-10-24 21:32:50,71.29,-156.79,30.2,92,90,12.75
144,Port Hardy,CA,2020-10-24 21:32:50,50.7,-127.42,46.4,39,20,17.22
145,Waitati,NZ,2020-10-24 21:32:50,-45.75,170.57,68.02,50,100,15.32
146,Beisfjord,NO,2020-10-24 21:32:51,68.38,17.6,32.0,91,72,6.93
147,Uvira,CD,2020-10-24 21:32:51,-3.41,29.15,76.12,60,50,5.01
148,Puerto Escondido,MX,2020-10-24 21:32:52,15.85,-97.07,84.79,73,89,4.85
149,Port Elizabeth,ZA,2020-10-24 21:32:52,-33.92,25.57,63.0,83,14,1.01
150,Nampa,US,2020-10-24 21:31:01,43.54,-116.56,52.0,50,90,20.8
151,Luganville,VU,2020-10-24 21:32:53,-15.53,167.17,80.6,83,40,9.17
152,Russell,US,2020-10-24 21:32:53,32.35,-85.2,69.8,94,90,2.68
153,Lasa,IT,2020-10-24 21:32:54,46.62,10.7,50.0,86,5,3.36
154,East London,ZA,2020-10-24 21:30:24,-33.02,27.91,69.44,83,4,0.4
155,Gao,ML,2020-10-24 21:32:54,16.64,1.64,83.34,13,0,11.45
156,Xuddur,SO,2020-10-24 21:32:55,4.12,43.89,72.77,88,100,11.45
157,Seshcha,RU,2020-10-24 21:32:55,53.74,33.34,47.41,94,100,8.57
158,Serik,TR,2020-10-24 21:32:55,36.92,31.1,73.4,35,0,8.05
159,Nabire,ID,2020-10-24 21:32:56,-3.37,135.48,77.76,82,99,3.2
160,Coquimbo,CL,2020-10-24 21:29:04,-29.95,-71.34,57.2,71,90,8.05
161,Flinders,AU,2020-10-24 21:32:57,-34.58,150.86,55.0,83,96,5.01
